iso3,country,depth_credit_info_0_8,depth_credit_info_0_8__year,credit_bureau_cov_pct,credit_bureau_cov_pct__year,credit_registry_cov_pct,credit_registry_cov_pct__year,legal_rights_0_12,legal_rights_0_12__year
AFG,"Afghanistan",0,2019,0,2019,1.5,2019,10,2019
AGO,"Angola",0,2019,0,2019,1.5,2019,1,2019
ALB,"Albania",6,2019,0,2019,56.2,2019,8,2019
ARE,"United Arab Emirates",8,2019,51.3,2019,12,2019,6,2019
ARG,"Argentina",8,2019,100,2019,48.1,2019,2,2019
ARM,"Armenia",8,2019,82.5,2019,0,2019,6,2019
ATG,"Antigua and Barbuda",0,2019,0,2019,0,2019,5,2019
AUS,"Australia",8,2019,100,2019,0,2019,11,2019
AUT,"Austria",7,2019,53.5,2019,2.2,2019,4,2019
AZE,"Azerbaijan",8,2019,44.6,2019,0,2019,12,2019
BDI,"Burundi",1,2019,0,2019,6.5,2019,2,2019
BEL,"Belgium",5,2019,0,2019,95.6,2019,8,2019
BEN,"Benin",0,2019,1.3,2019,0,2019,6,2019
BFA,"Burkina Faso",0,2019,2,2019,0,2019,6,2019
BGD,"Chittagong",4,2019,0,2019,5.2,2019,5,2019
BGR,"Bulgaria",5,2019,0,2019,78,2019,8,2019
BHR,"Bahrain",8,2019,40.9,2019,0,2019,3,2019
BHS,"Bahamas, The",0,2019,0,2019,0,2019,6,2019
BIH,"Bosnia and Herzegovina",6,2019,14,2019,47.1,2019,7,2019
BLR,"Belarus",7,2019,0,2019,53,2019,3,2019
BLZ,"Belize",0,2019,0,2019,0,2019,4,2019
BOL,"Bolivia",7,2019,55,2019,26.1,2019,0,2019
BRA,"Rio de Janeiro",8,2019,81.2,2019,79,2019,2,2019
BRB,"Barbados",0,2019,0,2019,0,2019,6,2019
BRN,"Brunei Darussalam",8,2019,0,2019,76.8,2019,12,2019
BTN,"Bhutan",7,2019,42.5,2019,0,2019,4,2019
BWA,"Botswana",7,2019,54.4,2019,0,2019,5,2019
CAF,"Central African Republic",1,2019,0,2019,5.1,2019,6,2019
CAN,"Canada",8,2019,100,2019,0,2019,9,2019
CHE,"Switzerland",7,2019,28.8,2019,0,2019,6,2019
CHL,"Chile",7,2019,44,2019,59.1,2019,4,2019
CHN,"Beijing",8,2019,0,2019,100,2019,3,2019
CIV,"Côte d'Ivoire",8,2019,22.1,2019,0,2019,6,2019
CMR,"Cameroon",6,2019,0,2019,40.1,2019,6,2019
COD,"Congo, Dem. Rep.",0,2019,0,2019,1.5,2019,6,2019
COG,"Congo, Rep.",2,2019,0,2019,13.2,2019,6,2019
COL,"Colombia",7,2019,82.4,2019,0,2019,11,2019
COM,"Comoros",2,2019,0,2019,11.9,2019,6,2019
CPV,"Cabo Verde",6,2019,0,2019,20,2019,1,2019
CRI,"Costa Rica",7,2019,86,2019,36.4,2019,10,2019
CYP,"Cyprus",5,2019,81.4,2019,0,2019,7,2019
CZE,"Czech Republic",7,2019,81.1,2019,7.3,2019,7,2019
DEU,"Germany",8,2019,100,2019,1.8,2019,6,2019
DJI,"Djibouti",0,2019,0,2019,0.4,2019,8,2019
DMA,"Dominica",0,2019,0,2019,0,2019,6,2019
DNK,"Denmark",6,2019,7.3,2019,0,2019,8,2019
DOM,"Dominican Republic",8,2019,100,2019,26.8,2019,1,2019
DZA,"Algeria",0,2019,0,2019,3.6,2019,2,2019
ECU,"Ecuador",8,2019,79.7,2019,0,2019,1,2019
EGY,"Egypt, Arab Rep.",8,2019,31.3,2019,9.5,2019,5,2019
ERI,"Eritrea",0,2019,0,2019,0,2019,0,2019
ESP,"Spain",7,2019,7.5,2019,68.6,2019,5,2019
EST,"Estonia",7,2019,22.9,2019,0,2019,7,2019
ETH,"Ethiopia",0,2019,0,2019,0.4,2019,3,2019
FIN,"Finland",6,2019,22,2019,0,2019,6,2019
FJI,"Fiji",0,2019,0,2019,0,2019,5,2019
FRA,"France",6,2019,0,2019,47,2019,4,2019
FSM,"Micronesia, Fed. Sts.",0,2019,0,2019,0,2019,10,2019
GAB,"Gabon",2,2019,0,2019,28.5,2019,6,2019
GBR,"United Kingdom",8,2019,100,2019,0,2019,7,2019
GEO,"Georgia",8,2019,100,2019,0,2019,9,2019
GHA,"Ghana",6,2019,33.2,2019,0,2019,6,2019
GIN,"Guinea",0,2019,0,2019,1.8,2019,6,2019
GMB,"Gambia, The",0,2019,0,2019,0,2019,6,2019
GNB,"Guinea-Bissau",0,2019,1.2,2019,0,2019,6,2019
GNQ,"Equatorial Guinea",2,2019,0,2019,10.8,2019,6,2019
GRC,"Greece",7,2019,69.9,2019,0,2019,2,2019
GRD,"Grenada",0,2019,0,2019,0,2019,6,2019
GTM,"Guatemala",8,2019,37.1,2019,22.8,2019,9,2019
GUY,"Guyana",8,2019,30.9,2019,0,2019,3,2019
HKG,"Hong Kong, China",7,2019,100,2019,0,2019,8,2019
HND,"Honduras",8,2019,48.9,2019,17.3,2019,8,2019
HRV,"Croatia",5,2019,6.1,2019,0,2019,5,2019
HTI,"Haiti",5,2019,0,2019,5.3,2019,2,2019
HUN,"Hungary",6,2019,91.1,2019,0,2019,9,2019
IDN,"Jakarta",8,2019,40.4,2019,30.9,2019,6,2019
IND,"Delhi",7,2019,63.1,2019,0,2019,9,2019
IRL,"Ireland",7,2019,100,2019,94.4,2019,7,2019
IRN,"Iran, Islamic Rep.",8,2019,60.7,2019,60.3,2019,2,2019
IRQ,"Iraq",0,2019,0,2019,1.3,2019,0,2019
ISL,"Iceland",7,2019,100,2019,0,2019,4,2019
ISR,"Israel",8,2019,100,2019,0,2019,6,2019
ITA,"Italy",7,2019,100,2019,31.1,2019,2,2019
JAM,"Jamaica",8,2019,52.6,2019,0,2019,9,2019
JOR,"Jordan",8,2019,22.9,2019,5,2019,11,2019
JPN,"Osaka",6,2019,100,2019,0,2019,5,2019
KAZ,"Kazakhstan",8,2019,65.4,2019,0,2019,8,2019
KEN,"Kenya",8,2019,36.4,2019,0,2019,11,2019
KGZ,"Kyrgyz Republic",8,2019,39.2,2019,0,2019,9,2019
KHM,"Cambodia",6,2019,52.2,2019,0,2019,10,2019
KIR,"Kiribati",0,2019,0,2019,0,2019,4,2019
KNA,"St. Kitts and Nevis",0,2019,0,2019,0,2019,5,2019
KOR,"Korea, Rep.",8,2019,100,2019,68.2,2019,5,2019
KWT,"Kuwait",8,2019,31.6,2019,16.8,2019,1,2019
LAO,"Lao PDR",6,2019,0,2019,19.8,2019,6,2019
LBN,"Lebanon",6,2019,0,2019,21.3,2019,2,2019
LBR,"Liberia",0,2019,0,2019,3.2,2019,10,2019
LBY,"Libya",0,2019,0,2019,0.6,2019,0,2019
LCA,"St. Lucia",0,2019,0,2019,0,2019,5,2019
LIE,"Liechtenstein",0,2019,0,2019,0,2019,3,2019
LKA,"Sri Lanka",6,2019,48.7,2019,0,2019,2,2019
LSO,"Lesotho",6,2019,15.8,2019,0,2019,5,2019
LTU,"Lithuania",8,2019,100,2019,53.7,2019,6,2019
LUX,"Luxembourg",0,2019,0,2019,0,2019,3,2019
LVA,"Latvia",8,2019,48.1,2019,96.9,2019,9,2019
MAR,"Morocco",7,2019,31.6,2019,0,2019,2,2019
MDA,"Moldova",6,2019,18.2,2019,0,2019,8,2019
MDG,"Madagascar",6,2019,0,2019,10.4,2019,2,2019
MDV,"Maldives",5,2019,0,2019,22.4,2019,2,2019
MEX,"Mexico City",8,2019,100,2019,0,2019,10,2019
MHL,"Marshall Islands",0,2019,0,2019,0,2019,10,2019
MKD,"North Macedonia",7,2019,100,2019,41.7,2019,9,2019
MLI,"Mali",0,2019,3.5,2019,0,2019,6,2019
MLT,"Malta",5,2019,0,2019,54.4,2019,2,2019
MMR,"Myanmar",0,2019,0,2019,0,2019,2,2019
MNE,"Montenegro",5,2019,0,2019,41,2019,12,2019
MNG,"Mongolia",7,2019,0,2019,53.6,2019,9,2019
MOZ,"Mozambique",4,2019,0,2019,7.6,2019,1,2019
MRT,"Mauritania",6,2019,0,2019,8.4,2019,2,2019
MUS,"Mauritius",7,2019,0,2019,100,2019,6,2019
MWI,"Malawi",7,2019,40.2,2019,0,2019,11,2019
MYS,"Malaysia",8,2019,89.1,2019,64.9,2019,7,2019
NAM,"Namibia",7,2019,62.7,2019,0,2019,5,2019
NER,"Niger",8,2019,6.2,2019,0,2019,6,2019
NGA,"Kano",8,2019,13.9,2019,4.8,2019,9,2019
NIC,"Nicaragua",8,2019,56.6,2019,12.9,2019,2,2019
NLD,"Netherlands",7,2019,98.7,2019,0,2019,2,2019
NOR,"Norway",6,2019,100,2019,0,2019,5,2019
NPL,"Nepal",5,2019,7.3,2019,0,2019,10,2019
NZL,"New Zealand",8,2019,100,2019,0,2019,12,2019
OMN,"Oman",6,2019,0,2019,27.1,2019,1,2019
PAK,"Karachi",7,2019,6.7,2019,11.7,2019,2,2019
PAN,"Panama",8,2019,77,2019,0,2019,8,2019
PER,"Peru",8,2019,100,2019,39.4,2019,7,2019
PHL,"Philippines",7,2019,13.5,2019,0,2019,1,2019
PLW,"Palau",0,2019,0,2019,0,2019,10,2019
PNG,"Papua New Guinea",5,2019,7.5,2019,0,2019,9,2019
POL,"Poland",8,2019,100,2019,0,2019,7,2019
PRI,"Puerto Rico",7,2019,100,2019,0,2019,12,2019
PRT,"Portugal",7,2019,7.9,2019,100,2019,2,2019
PRY,"Paraguay",7,2019,59.9,2019,23.9,2019,1,2019
PSE,"West Bank and Gaza",8,2019,0,2019,22.9,2019,8,2019
QAT,"Qatar",8,2019,0,2019,34.7,2019,1,2019
ROU,"Romania",7,2019,54.5,2019,19.4,2019,9,2019
RUS,"Moscow",7,2019,100,2019,0,2019,9,2019
RWA,"Rwanda",8,2019,15.8,2019,10.4,2019,11,2019
SAU,"Saudi Arabia",8,2019,56.7,2019,0,2019,3,2019
SDN,"Sudan",0,2019,2.3,2019,0,2019,3,2019
SEN,"Senegal",7,2019,8.2,2019,0,2019,6,2019
SGP,"Singapore",7,2019,64.2,2019,0,2019,8,2019
SLB,"Solomon Islands",0,2019,4.6,2019,0,2019,10,2019
SLE,"Sierra Leone",0,2019,0,2019,2.1,2019,5,2019
SLV,"El Salvador",7,2019,53.2,2019,30.4,2019,9,2019
SMR,"San Marino",5,2019,0,2019,92.6,2019,1,2019
SOM,"Somalia",0,2019,0,2019,0,2019,0,2019
SRB,"Serbia",7,2019,100,2019,0,2019,6,2019
SSD,"South Sudan",0,2019,0,2019,0,2019,2,2019
STP,"São Tomé and Principe",5,2019,0,2019,21.5,2019,0,2019
SUR,"Suriname",0,2019,0,2019,0,2019,2,2019
SVK,"Slovak Republic",7,2019,85.4,2019,2,2019,7,2019
SVN,"Slovenia",6,2019,0,2019,100,2019,3,2019
SWE,"Sweden",5,2019,100,2019,0,2019,7,2019
SWZ,"Eswatini",7,2019,54.2,2019,0,2019,4,2019
SYC,"Seychelles",5,2019,0,2019,76.6,2019,2,2019
SYR,"Syrian Arab Republic",2,2019,0,2019,7.8,2019,1,2019
TCD,"Chad",0,2019,0,2019,2.5,2019,6,2019
TGO,"Togo",8,2019,13.6,2019,0,2019,6,2019
THA,"Thailand",7,2019,56.5,2019,0,2019,7,2019
TJK,"Tajikistan",7,2019,47.6,2019,0,2019,11,2019
TLS,"Timor-Leste",4,2019,0,2019,8.7,2019,0,2019
TON,"Tonga",4,2019,28.2,2019,0,2019,10,2019
TTO,"Trinidad and Tobago",6,2019,81,2019,0,2019,7,2019
TUN,"Tunisia",7,2019,0,2019,36.4,2019,3,2019
TUR,"Turkey",8,2019,0,2019,80.2,2019,7,2019
TZA,"Tanzania",8,2019,6.1,2019,0,2019,5,2019
UGA,"Uganda",7,2019,6.9,2019,0,2019,5,2019
UKR,"Ukraine",7,2019,56.9,2019,2.4,2019,8,2019
URY,"Uruguay",8,2019,100,2019,100,2019,4,2019
USA,"Los Angeles",8,2019,100,2019,0,2019,11,2019
UZB,"Uzbekistan",7,2019,47.8,2019,0,2019,6,2019
VCT,"St. Vincent and the Grenadines",0,2019,0,2019,0,2019,5,2019
VEN,"Venezuela, RB",7,2019,40.7,2019,0,2019,1,2019
VNM,"Vietnam",8,2019,20.6,2019,59.4,2019,8,2019
VUT,"Vanuatu",4,2019,17.6,2019,0,2019,11,2019
WSM,"Samoa",0,2019,0,2019,0,2019,9,2019
XKX,"Kosovo",6,2019,0,2019,41.4,2019,11,2019
YEM,"Yemen, Rep.",0,2019,0,2019,1.3,2019,0,2019
ZAF,"South Africa",7,2019,66.5,2019,0,2019,5,2019
ZMB,"Zambia",8,2019,9.1,2019,0,2019,11,2019
ZWE,"Zimbabwe",7,2019,50.2,2019,8.8,2019,6,2019
