iso3,any_cov,bureau_cov,registry_cov,depth_credit_info_0_8,legal_rights_0_12,lowcov2019_z,lowbureau2019_z,lowregistry2019_z,lowdepth2019_z,lowrights2019_z,lowcov2019_bmedian,gdp_pc_year,gdp_pc,privcredit_gdp_year,privcredit_gdp,acct_own_rate,lgdppc
ALB,56.2,0,56.2,6,8,-0.463770273887639,0.956229552136382,-1.67419303034385,-0.0377619378691202,-0.648229846265308,0,2023,9740.7023414631,2023,32.4665672054877,0.460403723309984,9.18406850301664
ARG,100,100,48.1,8,2,-1.84377754776285,-2.01048295569119,-1.33709768311891,-0.770343532530054,1.2571730351812,0,2023,14261.8465667948,2023,15.3570823376105,0.731017672006396,9.56534317834743
ARM,82.5,82.5,0,8,6,-1.29240477852047,-1.49130826682137,0.664666045463761,-0.770343532530054,-0.0130955524498041,0,2023,8159.08720967996,2023,55.4049602573759,0.704859112436645,9.00688758014235
AZE,44.6,44.6,0,8,12,-0.0982888954184056,-0.366924226354715,0.664666045463761,-0.770343532530054,-1.91849843389631,0,2023,7133.02838048328,2023,23.1277980537513,0.563432710521591,8.87249116102847
BEN,1.3,1.3,0,0,6,1.26596487076416,0.917662289534624,0.664666045463761,2.15998284611368,-0.0130955524498041,1,2023,1394.17784721831,2023,18.6083305389739,0.199061777922869,7.24006016368371
BFA,2,2,0,0,6,1.24390995999447,0.896895301979831,0.664666045463761,2.15998284611368,-0.0130955524498041,1,2023,873.198061670247,2023,31.9206411572312,0.205498915198531,6.77216240487287
BGD,5.2,0,5.2,4,5,1.14308751076158,0.956229552136382,0.448259155887256,0.694819656791814,0.304471594457948,1,2023,2551.01773827307,2023,37.6413802339103,0.32914619607049,7.84424767157631
BGR,78,0,78,5,8,-1.15062320928671,0.956229552136382,-2.58143729818381,0.328528859461347,-0.648229846265308,0,2023,15854.0192893772,2023,45.3249399571121,0.847101656418055,9.67117833008472
BIH,47.1,14,47.1,6,7,-0.177056433881602,0.540889801040522,-1.29548097358496,-0.0377619378691202,-0.330662699357556,0,2023,8663.02326458629,2023,47.3447518824995,0.771993307129866,9.06681904739805
BLZ,0,0,0,0,4,1.30692399076503,0.956229552136382,0.664666045463761,2.15998284611368,0.622038741365699,1,2023,7424.75821321022,2023,42.0392582524557,0.673921682651252,8.91257539926327
BOL,55,55,26.1,7,0,-0.425961855425304,-0.675462327168783,-0.421530073372157,-0.404052735199587,1.89230732899671,0,2023,4274.70820547613,2023,60.2219708371781,0.536782157967712,8.36047112301234
BRA,81.2,81.2,79,8,2,-1.25144565851961,-1.45274100421961,-2.62305400771775,-0.770343532530054,1.2571730351812,0,2023,10377.5892792557,2023,71.0755405509113,0.855981843286633,9.2474038830466
BWA,54.4,54.4,0,7,5,-0.407057646194137,-0.657662052121817,0.664666045463761,-0.404052735199587,0.304471594457948,0,2023,7827.30027960734,2023,30.0559684945784,0.415004611192527,8.96537293765401
CHN,100,0,100,8,3,-1.84377754776285,0.956229552136382,-3.49700490793056,-0.770343532530054,0.939605888273451,0,2023,12951.1782397043,2023,189.606708989308,0.894236596497792,9.46894204674986
CIV,22.1,22.1,0,8,6,0.610618950750366,0.300586087906488,0.664666045463761,-0.770343532530054,-0.0130955524498041,1,2023,2591.9659048119,2023,21.9036293631015,0.168448987329121,7.8601719033779
CMR,40.1,0,40.1,6,6,0.0434926738153487,0.956229552136382,-1.00416400684736,-0.0377619378691202,-0.0130955524498041,1,2023,1720.47510154506,2019,14.0910928751244,0.20690228387568,7.4503557534938
COD,1.5,0,1.5,0,6,1.25966346768711,0.956229552136382,0.602240981162846,2.15998284611368,-0.0130955524498041,1,2023,660.21205238997,2023,11.2863136949009,0.13563237567505,6.49256107491737
COG,13.2,0,13.2,2,6,0.891031387679346,0.956229552136382,0.115325479615711,1.42740125145275,-0.0130955524498041,1,2023,2477.97845544866,2023,13.7900478506587,0.147500975809252,7.81519836782065
COL,82.4,82.4,0,7,11,-1.28925407698194,-1.48834155431354,0.664666045463761,-0.404052735199587,-1.60093128698856,0,2023,7012.49169137756,2023,41.5886837999716,0.432114618190551,8.85544836499995
COM,11.9,0,11.9,2,6,0.931990507680209,0.956229552136382,0.169427202009837,1.42740125145275,-0.0130955524498041,1,2023,1723.89474946474,2023,16.5944611248562,0.40456525196206,7.45234139916553
CRI,86,86,36.4,7,10,-1.40267933236894,-1.59514320459533,-0.850182181571771,-0.404052735199587,-1.28336414008081,0,2023,17140.771430122,2023,50.5269682662904,0.71341912987184,9.74921519873067
DOM,100,100,26.8,8,1,-1.84377754776285,-2.01048295569119,-0.450661770045917,-0.770343532530054,1.57474018208895,0,2023,10630.431743829,2023,30.842195690075,0.637610603129244,9.2714760861113
DZA,3.6,0,3.6,0,2,1.19349873537802,0.956229552136382,0.514845891141565,2.15998284611368,1.2571730351812,1,2023,5370.477235078,2023,18.846702518083,0.35244180274489,8.58867205414596
ECU,79.7,79.7,0,8,1,-1.20418513544169,-1.40824031660219,0.664666045463761,-0.770343532530054,1.57474018208895,0,2023,6718.1447938811,2023,54.654544984531,0.640881396767202,8.81256732306309
EGY,31.3,31.3,9.5,8,5,0.320754409205801,0.0276485371863518,0.2693073048913,-0.770343532530054,0.304471594457948,1,2023,3456.78965212363,2023,29.2578215393463,0.352735535270536,8.14809559112899
ETH,0.4,0,0.4,0,3,1.29432118461091,0.956229552136382,0.648019361650183,2.15998284611368,0.939605888273451,1,2023,1055.81091593061,2008,17.7101483486321,0.484704021453687,6.96206439134972
GAB,28.5,0,28.5,2,6,0.408974052284582,0.956229552136382,-0.52141017625362,1.42740125145275,-0.0130955524498041,1,2023,7802.82433276138,2019,13.3764779657931,0.248103064169028,8.96224104108126
GEO,100,100,0,8,9,-1.84377754776285,-2.01048295569119,0.664666045463761,-0.770343532530054,-0.965796993173059,0,2023,8283.66960652261,2023,66.4033160272702,0.787736392728529,9.02204133839353
GHA,33.2,33.2,0,6,6,0.260891079973772,-0.0287190004623721,0.664666045463761,-0.0377619378691202,-0.0130955524498041,1,2023,2383.90410476221,2023,9.44619497401401,0.386683195888694,7.77649480286372
GIN,1.8,0,1.8,0,6,1.25021136307152,0.956229552136382,0.589755968302663,2.15998284611368,-0.0130955524498041,1,2023,1555.49375806861,2023,10.2490766052461,0.16903357058626,7.34954830351615
GMB,0,0,0,0,6,1.30692399076503,0.956229552136382,0.664666045463761,2.15998284611368,-0.0130955524498041,1,2023,883.024111978927,2023,8.72531335926186,0.310565466474812,6.78335250711554
GTM,37.1,37.1,22.8,8,9,0.138013719971185,-0.144420788267647,-0.284194931910144,-0.770343532530054,-0.965796993173059,1,2023,5754.42833909847,2023,37.1572608143257,0.373655444835811,8.65772498331136
HND,48.9,48.9,17.3,8,8,-0.233769061575104,-0.494492864191301,-0.0553030294734566,-0.770343532530054,-0.648229846265308,0,2023,3227.45762509776,2023,75.6308247756834,0.396724338666882,8.07944999330781
HRV,6.1,6.1,0,5,5,1.11473119691483,0.7752600891589,0.664666045463761,0.328528859461347,0.304471594457948,1,2023,22183.4982258492,2023,46.4400272775491,0.93117954291378,10.0071039682988
IDN,40.4,40.4,30.9,8,6,0.0340405691997652,-0.242322301025957,-0.621290279135084,-0.770343532530054,-0.0130955524498041,0,2023,4876.2992959843,2023,36.0129512588691,0.524761905448664,8.49214187017439
IND,63.1,63.1,0,7,9,-0.681168680046062,-0.915766040302816,0.664666045463761,-0.404052735199587,-0.965796993173059,0,2023,2434.44826340989,2023,40.8940758962907,0.886553603205458,7.79747542397361
IRN,60.7,60.7,60.3,8,2,-0.605551843121393,-0.844564940114955,-1.84482153943301,-0.770343532530054,1.2571730351812,0,2023,5049.29931642754,2016,57.8313383703997,0.910589254627467,8.52700476342057
