model,estimate,se,p_cluster,p_wild,ci95,N,G,within_r2
M2,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,0.001,"[-0.02916292173935682, -0.010333428809444283]",100560,97,0.048144861463441546
M4_mobile_loan_app,0.01097060598146225,0.006334299873124821,0.08649682340033028,0.081,"[-0.0016028798912234403, 0.02354409185414794]",100452,97,0.033684143988042314
M4_emergency_loan_source,-0.008833904224393539,0.0038019648487095208,0.022261890290545802,0.018,"[-0.01638074480207434, -0.0012870636467127387]",97540,97,0.007432722341852438
M4_informal_borrow,0.017364836615067342,0.006089946356240596,0.005329273562260277,0.007,"[0.005276388639864271, 0.029453284590270412]",100428,97,0.021836492861596057
M5_inc_q,-0.003735633969420893,0.006084518903319748,0.5406958191986634,,"[-0.015813308535724508, 0.008342040596882722]",100560,97,0.04846107076957984
M5_female_d,-0.025605480860994068,0.005574929818327756,1.3264588937980104e-05,,"[-0.03667162908826113, -0.014539332633727002]",100560,97,0.048404617723057264
M5_educ,0.005397539416560071,0.007301871197146138,0.46158949476406574,,"[-0.009096560354595227, 0.019891639187715367]",100560,97,0.048644205689744036
M5_region,-0.016350188920717913,0.018052412885143816,0.3673587400818933,,"[-0.05218394528300879, 0.019483567441572966]",100560,97,0.049191346490005894
M6_1_unweighted,-0.021290337017515364,0.004823897081632595,2.6628861984794774e-05,0.001,"[-0.03086569704499633, -0.011714976990034398]",100560,97,0.04739557446853948
M6_1_population,-0.027831828589299164,0.007667529370687182,0.0004570752311411176,0.001,"[-0.04305175409831652, -0.012611903080281808]",100560,97,0.04199169428594429
M6_3_drop_high_income,-0.020503116420439248,0.004873052036185022,6.0959806238057324e-05,0.001,"[-0.030184284836252684, -0.01082194800462581]",94682,91,0.04927313481509554
M6_5_country_controls,-0.023540451556239277,0.007859783104183386,0.003490669085291701,0.003,"[-0.03914199771007987, -0.007938905402398689]",100560,97,0.04890920623679551
M6_6_n_ge_500,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,0.001,"[-0.02916292173935682, -0.010333428809444283]",100560,97,0.048144861463441546
M6_8_internet,-0.020477928293199193,0.004793790573761657,4.565078721277156e-05,0.001,"[-0.02999352737488136, -0.010962329211517026]",100560,97,0.048731856636375026
M6_10_inwork,-0.018960829845787876,0.004844336633698045,0.000170666226286279,0.001,"[-0.028578054009173244, -0.009343605682402507]",96925,96,0.05132579692312622
