dropped_iso3,b3
ALB,-0.01977073894337915
ARG,-0.021639333690094364
ARM,-0.01838076203019088
AZE,-0.019730672642185487
BEN,-0.019888547735826358
BFA,-0.01977630575495663
BGD,-0.019168114733493113
BGR,-0.02005385499476828
BIH,-0.019677398243150398
BLZ,-0.020684842318689743
BOL,-0.02008270141537072
BRA,-0.01926036709517017
BWA,-0.019981196836235556
CHN,-0.01980257227865118
CIV,-0.01949855574400984
CMR,-0.019802400978950557
COD,-0.019648282839053743
COG,-0.01967896915013911
COL,-0.019755741329399824
COM,-0.0206854947496901
CRI,-0.020270185965890697
DOM,-0.017366743663597462
DZA,-0.020037155334527715
ECU,-0.019057777449862486
EGY,-0.01947456994862781
ETH,-0.020142668713252605
GAB,-0.01957017208989353
GEO,-0.018678559558653732
GHA,-0.019609019299680515
GIN,-0.019737250128799518
GMB,-0.020242277294580974
GTM,-0.019723152188034974
HND,-0.019668848723930706
HRV,-0.02022157636147123
IDN,-0.01991876030047424
IND,-0.019075857244845278
IRN,-0.019775326324096006
IRQ,-0.020357730700688196
JOR,-0.019767370168779587
KAZ,-0.019397972369026278
KEN,-0.01987393181393664
KGZ,-0.019729332439024347
KHM,-0.020335831692938833
LAO,-0.019505680874798433
LBN,-0.0195017273823585
LBR,-0.019492877750167125
LBY,-0.02030004399744122
LKA,-0.01960145207713148
MAR,-0.019536151131909783
MDA,-0.01937296303508691
MDG,-0.019795375779548492
MEX,-0.02032161559402859
MKD,-0.018982608509614265
MLI,-0.019405900440530907
MNE,-0.019696611896751405
MNG,-0.01951084035059819
MOZ,-0.01998611971569225
MRT,-0.02067772348241324
MUS,-0.01967621567703397
MWI,-0.019820102916542914
MYS,-0.019916369606066107
NAM,-0.020041139145738223
NER,-0.020001502470310562
NGA,-0.01960793899233248
NIC,-0.019593784763151757
NPL,-0.01876623313741992
OMN,-0.019602135038576416
PAK,-0.01967095805242713
PAN,-0.019770800162915287
PER,-0.019800371461772923
PHL,-0.01962819694374401
POL,-0.020404925966789327
PRY,-0.01965059189304107
PSE,-0.019675968583239417
ROU,-0.019613990905269347
SAU,-0.019671207028515
SEN,-0.019330021703543487
SLE,-0.020284406940089882
SLV,-0.019806538799442577
SRB,-0.019795970261713487
SWZ,-0.02012192078713822
TCD,-0.02047708838146574
TGO,-0.019883444665441292
THA,-0.02002255197602309
TJK,-0.019609983694503244
TUN,-0.019668244616712422
TUR,-0.019158347131205743
TZA,-0.019919434293312634
UGA,-0.019490047509258146
UKR,-0.01964685763699361
UZB,-0.01982211633506085
VEN,-0.01967769271400705
VNM,-0.01987546979823684
XKX,-0.019647318364273327
ZAF,-0.019854409957080658
ZMB,-0.019811298553681432
ZWE,-0.020018520878641505
