iso3,any_cov,adjusted_gap
ALB,56.2,-0.016037091010004105
ARG,100.0,-0.012787448455042413
ARM,82.5,0.0931769415322406
AZE,44.6,0.10761277906793773
BEN,1.3,0.0353301776067415
BFA,2.0,0.026355765468390156
BGD,5.2,-0.031463479651961994
BGR,78.0,-0.024775124128881096
BIH,47.1,-0.013119665400271985
BLZ,0.0,0.06260089880669417
BOL,55.0,-0.022198325004474967
BRA,81.2,0.0623578429717454
BWA,54.4,0.015229835584176114
CHN,100.0,0.06650394398876301
CIV,22.1,0.0036612801250293005
CMR,40.1,0.004177940663572612
COD,1.5,0.010110971260790757
COG,13.2,0.007761347105337875
COL,82.4,0.04287662556072591
COM,11.9,0.11177057889162265
CRI,86.0,-0.030678191607899905
DOM,100.0,0.16737142132683852
DZA,3.6,-0.06657976020605762
ECU,79.7,0.0750934661605252
EGY,31.3,-0.08788290901292262
ETH,0.4,-0.026969325340368343
GAB,28.5,-0.0157921762487483
GEO,100.0,0.111555962932022
GHA,33.2,-0.012760819233440086
GIN,1.8,0.003082492378790841
GMB,0.0,0.015973760766253134
GTM,37.1,0.03810303085815497
HND,48.9,0.039077817191375035
HRV,6.1,0.05543887121331992
IDN,40.4,0.04754752195977013
IND,63.1,0.09009836103240777
IRN,60.7,0.013438411373669062
IRQ,1.3,0.04795979522002007
JOR,22.9,0.007914869594631752
KAZ,65.4,0.1881933594106966
KEN,36.4,0.056742298386592636
KGZ,39.2,0.03098992460488472
KHM,52.2,-0.13956529403222695
LAO,19.8,-0.07093870918131881
LBN,21.3,-0.08425816232288612
LBR,3.2,0.011540181804110513
LBY,0.6,0.005465864824530571
LKA,48.7,0.05822770586280516
MAR,31.6,-0.0632828127038643
MDA,18.2,-0.049870788884960826
MDG,10.4,0.024010394547230633
MEX,100.0,-0.003774800108260968
MKD,100.0,0.06477026382409684
MLI,3.5,0.06251878592838395
MNE,41.0,0.024301982966347835
MNG,53.6,0.27822041308406115
MOZ,7.6,0.015291646780779496
MRT,8.4,0.17265421949719167
MUS,100.0,0.047562302987579325
MWI,40.2,0.003351487515024918
MYS,89.1,0.016381523486377596
NAM,62.7,0.04423837624006646
NER,6.2,0.06286251932880967
NGA,13.9,-0.032267074363063884
NIC,56.6,0.0009175850768985218
NPL,7.3,-0.012854433083997557
OMN,27.1,-0.023158375538511754
PAK,11.7,-0.0029669477966935837
PAN,77.0,0.028394898830852746
PER,100.0,0.04789473043423006
PHL,13.5,0.002663932712414205
POL,100.0,-0.037997281905824645
PRY,59.9,0.11456944339230651
PSE,22.9,-0.056180244258491746
ROU,54.5,-0.00979358113989523
SAU,56.7,0.003670727159419622
SEN,8.2,0.07482365696591302
SLE,2.1,0.023545643352422412
SLV,53.2,0.010570257366638488
SRB,100.0,0.01563236292774247
SWZ,54.2,-0.015906067457573045
TCD,2.5,0.1516538010110073
TGO,13.6,0.07930434239136
THA,56.5,0.006794869524954553
TJK,47.6,0.03564373703480418
TUN,36.4,0.030463540029462187
TUR,80.2,0.058094256294898776
TZA,6.1,0.016063084632717082
UGA,6.9,0.06998740023227992
UKR,56.9,0.027831563896674662
UZB,47.8,0.0035322570540490547
VEN,40.7,0.007833859555905579
VNM,59.4,-0.07381628341045154
XKX,41.4,0.005691878625779652
ZAF,66.5,0.004304242449610853
ZMB,9.1,0.029547259771631654
ZWE,50.2,-0.0052902754600135556
