panel,variable,weighted_mean,N,p25,median,p75,vietnam
overall,formal_borrow,0.09151214695879602,100560,,,,
overall,account_fin,0.5054128045547321,100560,,,,
overall,female_d,0.5117928578130453,100560,,,,
overall,age,38.62966764950723,100560,,,,
overall,urban_d,0.390148522078707,100560,,,,
anydigpayment_0,formal_borrow,0.0378210859258471,44368,,,,
anydigpayment_0,account_fin,0.1822417779965051,44368,,,,
anydigpayment_0,female_d,0.5582596311971495,44368,,,,
anydigpayment_0,age,38.15361743259407,44368,,,,
anydigpayment_0,urban_d,0.33902915150116686,44368,,,,
anydigpayment_1,formal_borrow,0.14127314283943224,56192,,,,
anydigpayment_1,account_fin,0.8049284373606508,56192,,,,
anydigpayment_1,female_d,0.4687273479410408,56192,,,,
anydigpayment_1,age,39.07087205908771,56192,,,,
anydigpayment_1,urban_d,0.4375260694728374,56192,,,,
economy_moderator,any_cov,41.48041237113402,97,10.4,40.4,59.9,59.4
economy_moderator,bureau_cov,32.2319587628866,97,0.0,20.6,56.5,20.6
economy_moderator,registry_cov,15.971134020618557,97,0.0,2.1,26.1,59.4
economy_moderator,depth_credit_info_0_8,5.896907216494846,97,6.0,7.0,8.0,8.0
economy_moderator,legal_rights_0_12,5.958762886597938,97,3.0,6.0,8.0,8.0
