variant,estimate,se,p_cluster,p_wild,N,G
M6_1_unweighted,-0.021290337017515364,0.004823897081632595,2.6628861984794774e-05,0.001,100560.0,97.0
M6_1_population,-0.027831828589299164,0.007667529370687182,0.0004570752311411176,0.001,100560.0,97.0
M6_3_drop_high_income,-0.020503116420439248,0.004873052036185022,6.0959806238057324e-05,0.001,94682.0,91.0
M6_4_lowdepth2019_z,-0.005250530445331064,0.0039061515344464962,0.18206144652045111,0.175,100560.0,97.0
M6_4_lowrights2019_z,0.007048339426139645,0.005905426038774831,0.23560062909589893,0.234,100560.0,97.0
M6_5_country_controls,-0.023540451556239277,0.007859783104183386,0.003490669085291701,0.003,100560.0,97.0
M6_6_n_ge_500,-0.01974817527440055,0.004742982808612062,6.837627585280705e-05,0.001,100560.0,97.0
M6_8_internet,-0.020477928293199193,0.004793790573761657,4.565078721277156e-05,0.001,100560.0,97.0
M6_10_inwork,-0.018960829845787876,0.004844336633698045,0.000170666226286279,0.001,96925.0,96.0
M6_7_economy_block_bootstrap,-0.01974817527440055,,,,,
M6_2_logit_interaction_AME,-0.013480819978387548,0.004383526323983909,,,100560.0,97.0
M6_2_probit_interaction_AME,-0.013575300108900646,0.0042013015265269914,,,100560.0,97.0
