key,repro,codex,abs_diff,status
M1_b1,0.03617476245394268,0.03617476245390756,3.512468094157839e-14,EXACT_MATCH
M2_b1,0.039570863861734015,0.03957086386180651,7.249756350802272e-14,EXACT_MATCH
M2_b3,-0.019748175274366085,-0.01974817527440055,3.4465486020707203e-14,EXACT_MATCH
M2b_b3,-0.039581900711004744,-0.03958190071107486,7.011752289898254e-14,EXACT_MATCH
M2c_wald_chi2__with_acc,15.530612813389514,,,no_codex_target
M2c_wald_chi2__no_acc,3.29630328207399,,,no_codex_target
M2c_wald_chi2,15.530612813389514,13.536841782539044,1.9937710308504695,SAME_SIGN_DIFF
M3a_receive,0.040796439382873376,0.04079643938286839,4.989064716909297e-15,EXACT_MATCH
M3a_make,0.05172496121998168,0.05172496121993399,4.769101780155438e-14,EXACT_MATCH
M3b_recX,-0.0026924548716505407,-0.0026924548716298793,2.066142396062176e-14,EXACT_MATCH
M3b_makX,-0.020210634498908506,-0.02021063449891532,6.813993813636898e-15,EXACT_MATCH
M4_mobile_loan_app_b1,0.0737486243265464,0.07374862432661605,6.965261700742076e-14,EXACT_MATCH
M4_mobile_loan_app_b3,0.010970605981468515,0.01097060598146225,6.265821195228227e-15,EXACT_MATCH
M4_mobile_loan_app_N,100452,,,no_codex_target
M4_emergency_loan_source_b1,0.00717520699366388,0.0071752069935735905,9.028975483937884e-14,EXACT_MATCH
M4_emergency_loan_source_b3,-0.008833904224459916,-0.008833904224393539,6.637745908477655e-14,EXACT_MATCH
M4_emergency_loan_source_N,97540,,,no_codex_target
M4_informal_borrow_b1,0.10661665556420072,0.10661665556432433,1.2360945600420337e-13,EXACT_MATCH
M4_informal_borrow_b3,0.01736483661554468,0.017364836615067342,4.773369199906341e-13,EXACT_MATCH
M4_informal_borrow_N,100428,,,no_codex_target
M5_inc_q,-0.0037742479419175775,,,no_codex_target
M5_female_d,0.007578084700661696,,,no_codex_target
M5_educ,-0.021112584058974707,,,no_codex_target
M5_region_wald,79.86641054433807,,,no_codex_target
M6_1_unweighted,-0.02129033701759046,-0.021290337017515364,7.509617927503598e-14,EXACT_MATCH
